num_nodes_V,num_lines_E,mesh_ratio_alpha,sensor_density_p,total_measurements_M,redundant_pool_size_R,tier1_setup_preprocess_sec,tier1_augment_expansion_sec,tier2_island_sanitization_sec,tier1_greedy_admittance_sec,tier3_total_pipeline_sec,post_opt_island_count,unobservable_island_count,final_observability_status,timestamp
30,35,0.2,0.4,31,27,0.000337,0.007845,0.000334,0.000363,0.009075,16,6,PARTIALLY_OBSERVABLE,2026-06-22 20:04:56
300,359,0.2,0.4,364,331,0.001797,0.059272,0.002799,0.008306,0.072369,124,54,PARTIALLY_OBSERVABLE,2026-06-22 20:10:25
500,599,0.2,0.4,594,572,0.002133,0.124289,0.00645,0.019847,0.152964,232,110,PARTIALLY_OBSERVABLE,2026-06-22 20:10:37
1000,1199,0.2,0.4,1191,1086,0.003801,0.270063,0.009949,0.067762,0.351843,431,194,PARTIALLY_OBSERVABLE,2026-06-22 20:10:53
2000,2397,0.2,0.4,2264,2068,0.007786,0.563363,0.022408,0.24244,0.836341,899,418,PARTIALLY_OBSERVABLE,2026-06-22 20:11:16
5000,5998,0.2,0.4,5946,5073,0.018458,3.255508,0.065916,2.340047,5.681139,2148,983,PARTIALLY_OBSERVABLE,2026-06-22 20:11:32
14,20,0.2,0.4,14,17,0.000209,0.004814,0.000215,0.000236,0.005626,5,4,PARTIALLY_OBSERVABLE,2026-06-22 20:23:31
100,119,0.2,0.4,123,79,0.001221,0.004666,0.000913,0.001021,0.008019,51,21,PARTIALLY_OBSERVABLE,2026-06-22 20:25:18
10000,11997,0.2,0.4,11761,6898,0.082229,3.817856,0.099692,5.114991,9.115814,5387,2478,PARTIALLY_OBSERVABLE,2026-06-22 20:25:41
5000,5998,0.2,0.4,5946,5073,0.024039,3.202496,0.067723,2.03755,5.332941,2148,983,PARTIALLY_OBSERVABLE,2026-06-23 12:51:07
5000,5998,0.2,0.4,5946,5073,0.017911,3.248657,0.065222,2.050059,5.382669,2148,983,PARTIALLY_OBSERVABLE,2026-06-23 12:51:20
10000,11997,0.2,0.4,11761,10486,0.042239,11.797958,0.15718,9.130828,21.129679,4318,2016,PARTIALLY_OBSERVABLE,2026-06-23 12:52:10
10000,11997,0.2,0.4,11761,10486,0.048068,12.220311,0.149342,9.672174,22.091382,4318,2016,PARTIALLY_OBSERVABLE,2026-06-23 12:52:51
2000,2397,0.2,0.4,2264,2068,0.010839,0.617501,0.024062,0.369659,1.02251,899,418,PARTIALLY_OBSERVABLE,2026-06-23 12:53:07
2000,2397,0.2,0.4,2264,2068,0.008018,0.636685,0.024069,0.287656,0.956841,899,418,PARTIALLY_OBSERVABLE,2026-06-23 12:53:11
